Far field
"Theta"[deg]	"Phi = 90 deg [dBi]"	"Phi = 0 deg [dBi]"	
1.26000000E+02	-1.82783704E+01	-1.30468955E+01	
1.28000000E+02	-1.94792132E+01	-1.31372320E+01	
1.30000000E+02	-2.06879499E+01	-1.31915012E+01	
1.32000000E+02	-2.17749971E+01	-1.32086709E+01	
1.34000000E+02	-2.25196137E+01	-1.31887002E+01	
1.36000000E+02	-2.26893114E+01	-1.31326273E+01	
1.38000000E+02	-2.22289244E+01	-1.30425620E+01	
1.40000000E+02	-2.13183683E+01	-1.29215809E+01	
1.42000000E+02	-2.02034189E+01	-1.27735453E+01	
1.44000000E+02	-1.90554824E+01	-1.26028707E+01	
1.46000000E+02	-1.79598132E+01	-1.24142818E+01	
1.48000000E+02	-1.69492451E+01	-1.22125841E+01	
1.50000000E+02	-1.60315037E+01	-1.20024713E+01	
1.52000000E+02	-1.52038306E+01	-1.17883803E+01	
1.54000000E+02	-1.44597558E+01	-1.15743944E+01	
1.56000000E+02	-1.37920124E+01	-1.13641892E+01	
1.58000000E+02	-1.31937038E+01	-1.11610132E+01	
1.60000000E+02	-1.26587059E+01	-1.09676937E+01	
1.62000000E+02	-1.21817458E+01	-1.07866586E+01	
1.64000000E+02	-1.17583529E+01	-1.06199685E+01	
1.66000000E+02	-1.13847662E+01	-1.04693519E+01	
1.68000000E+02	-1.10578349E+01	-1.03362416E+01	
1.70000000E+02	-1.07749272E+01	-1.02218084E+01	
1.72000000E+02	-1.05338497E+01	-1.01269915E+01	
1.74000000E+02	-1.03327807E+01	-1.00525242E+01	
1.76000000E+02	-1.01702141E+01	-9.99895520E+00	
1.78000000E+02	-1.00449141E+01	-9.96666486E+00	
1.80000000E+02	-9.95587682E+00	-9.95587682E+00	
